id,equipment_id,airline_id,name,class1,class2,class3,class4,seats1,seats2,seats3,seats4
241,3080,1355,Airbus A380-800,First,Club World,World Traveller Plus,World Traveller,14,97,55,303
242,2790,1355,Boeing 747-400 V1,First,Club World,World Traveler Plus,World Traveler,14,52,36,243
243,2790,1355,Boeing 747-400 V2,First,Club World,World Traveler Plus,World Traveler,14,70,30,185
244,2812,1355,Boeing 767-300 V1 Domestic,Euro Traveller,,,,259,,,
245,2812,1355,Boeing 767-300 V2 Domestic,UK Domestic,,,,252,,,
246,2812,1355,Boeing 767-300 V3 Worldwide,Club World,World Traveler Plus,World Traveler,,24,24,141,
247,2812,1355,Boeing 767-300 V4,Euro Traveller,Club Europe,,,147,97,,
248,2812,1355,Boeing 767-300 V5,Euro Traveller,Club Europe,,,221,26,,
249,2819,1355,Boeing 777-200 Four Class,First,Club World,World Traveler Plus,World Traveler,14,48,40,122
250,2819,1355,Boeing 777-200 Three Class,Club World,World Traveler Plus,World Traveler,,48,24,203,
251,2820,1355,Boeing 777-300 Four Class,First,Club World,World Traveller Plus,World Traveller,14,56,44,185
252,2827,1355,Boeing 787-8,Club World,World Traveller Plus,World Traveller,,35,25,154,
253,2729,1355,Airbus A319 Domestic,UK Domestic,,,,132,,,
254,2729,1355,Airbus A319 European,Euro Traveller,Club Europe,,,78,48,,
255,2733,1355,Airbus A320 Domestic,UK Domestic,,,,162,,,
256,2733,1355,Airbus A320 European,Euro Traveller,Club Europe,,,137,15,,
257,2734,1355,Airbus A321 Domestic,UK Domestic,,,,188,,,
258,2734,1355,Airbus A321 European,Euro Traveller,Club Europe,,,169,15,,
259,2734,1355,Airbus A321 Intl,Club World,Economy,,,23,131,,
260,2767,1355,Boeing 737-400 Domestic,UK Domestic,,,,153,,,
261,2767,1355,Boeing 737-400 European,Club Europe,Euro Traveller,,,13,132,,
266,2728,1355,Airbus A318,Club World London City,,,,32,,,
262,2966,1355,Embraer E-170 European,Club Europe,Euro Traveller,,,52,24,,
263,2966,1355,Embraer E-170 UK Domestic,UK Domestic,,,,76,,,
264,2968,1355,Embraer E-190 European,Euro Traveller,Club Europe,,,60,38,,
265,2968,1355,Embraer E-190 UK Domestic,UK Domestic,,,,98,,,
141,2811,24,Boeing 767-200 ,First,Business,Economy,,10,30,128,
142,2812,24,Boeing 767-300 ,First,Main Cabin Extra,Economy,,30,21,167,
143,2821,24,Boeing 777-200 ,First,Business,Economy,,16,37,194,
144,2824,24,Boeing 777-300ER ,First,Business,Main Cabin Extra,Economy,8,52,30,220
145,2729,24,Airbus A319 ,First,Main Cabin Extra,Economy,,8,18,102,
146,2734,24,Airbus A321 ,First,Business,Main Cabin Extra,Economy,10,20,36,36
147,2771,24,Boeing 737-800 ,First,Main Cabin Extra,Economy,,16,56,78,
148,2806,24,Boeing 757-200 ,First,Economy,,,22,166,,
149,2806,24,Boeing 757-200 ,First,Main Cabin Extra,Economy,,24,52,108,
150,2806,24,Boeing 757-200 ,Business,Main Cabin Extra,Economy,,16,52,108,
151,2967,24,Embraer ERJ-175 ,First,Main Cabin Extra,Economy,,12,20,44,
152,3029,24,McDonnell Douglas MD-80 ,First,Economy,,,16,124,,
153,3029,24,McDonnell Douglas MD-80 ,First,Main Cabin Extra,Economy,,16,40,79,
154,2896,24,Bombardier CRJ-200 ,Economy,,,,50,,,
155,2897,24,Bombardier CRJ-700 ,First,Economy,,,9,54,,
156,2897,24,Bombardier CRJ-700 ,First,Economy,,,9,56,,
157,2973,24,Embraer ERJ-135 ,Economy,,,,37,,,
158,2975,24,Embraer ERJ-140 ,Economy,,,,44,,,
159,2974,24,Embraer ERJ-145 ,Economy,,,,50,,,
160,2861,24,ATR 72 ,Economy,,,,64,,,
301,2790,5209,Boeing 747-400,Global First,Business First,Economy Plus,Economy,12,52,70,240
302,2812,5209,Boeing 767-300 Three Class,Global First,BusinessFirst,Economy Plus,Economy,6,26,71,80
303,2812,5209,Boeing 767-300 Two Class,BusinessFirst,Economy Plus,Economy,,30,49,135,
304,2813,5209,Boeing 767-400ER Intl,BusinessFirst,Economy Plus,Economy,,39,70,133,
305,2819,5209,Boeing 777-200 V1 Three Class Intl,Global First,BusinessFirst,Economy Plus,Economy,8,40,110,108
306,2819,5209,Boeing 777-200 V2 Three Class Intl,Global First,Business First,Economy Plus,Economy,8,40,113,108
307,2819,5209,Boeing 777-200 V3 Three Class Intl,Global First,BusinessFirst,Economy Plus,Economy,12,49,92,105
308,2819,5209,Boeing 777-200 V4 Domestic,First,Economy Plus,Economy,,36,89,223,
309,2819,5209,Boeing 777-200 V5 Two Class Intl,BusinessFirst,Economy Plus,Economy,,50,72,145,
310,2827,5209,Boeing 787-8,BusinessFirst,Economy Plus,Economy,,36,70,113,
311,2729,5209,Airbus A319 V1,First,Economy Plus,Economy,,8,40,72,
312,2729,5209,Airbus A319 V2,First,Economy Plus,Economy,,8,42,78,
313,2733,5209,Airbus A320 V1,First,Economy Plus,Economy,,12,36,90,
314,2733,5209,Airbus A320 V2,First,Economy Plus,Economy,,12,42,90,
315,2733,5209,Airbus A320 V3,First,Economy Plus,Economy,,12,42,96,
316,2770,5209,Boeing 737-700 Domestic,First,Economy Plus,Economy,,12,40,66,
317,2770,5209,Boeing 737-700 Micronesia,First,Economy Plus,Economy,,12,8,104,
318,2771,5209,Boeing 737-800 V1,First,Economy Plus,Economy,,20,18,114,
319,2771,5209,Boeing 737-800 V2,First,Economy Plus,Economy,,16,18,126,
320,2771,5209,Boeing 737-800 V3 Econ Plus,First,Economy Plus,Economy,,16,48,90,
321,2771,5209,Boeing 737-800 V4 Micronesia,First Class,Economy Plus,Economy,,14,18,123,
322,2772,5209,Boeing 737-900 V1/V2,First Class,Economy Plus,Economy,,20,51,96,
323,2772,5209,Boeing 737-900 V3,First,Economy Plus,Economy,,20,18,135,
324,2806,5209,Boeing 757-200 V1 Domestic,First,Economy Plus,Economy,,24,50,108,
325,2806,5209,Boeing 757-200 V2 Intl,BusinessFirst,Economy Plus,Economy,,16,45,108,
326,2806,5209,Boeing 757-200 V3 PS,BusinessFirst,Economy Plus,Economy,,28,48,66,
327,2806,5209,Boeing 757-200 V4 PS,First,Business,Economy Plus,,12,26,72,
328,2806,5209,Boeing 757-200 V5 Domestic,Business First,Economy Plus,Economy,,24,50,114,
329,2807,5209,Boeing 757-300 V1,First,Economy Plus,Economy,,24,57,132,
330,2807,5209,Boeing 757-300 V2,First,Economy Plus,Economy,,24,24,168,
343,2970,5209,Embraer EMB-120 V1,Economy Plus,Economy,,,1,29,,
344,2970,5209,Embraer EMB-120 V2,Economy Plus,Economy,,,2,28,,
332,2896,5209,Bombardier CRJ-200 V1,Economy Plus,Economy,,,4,46,,
333,2896,5209,Bombardier CRJ-200 V2,Economy Plus,Economy,,,4,46,,
334,2897,5209,Bombardier CRJ-700 V1,First,Economy Plus,Economy,,6,32,28,
335,2897,5209,Bombardier CRJ-700 V2,First,Economy Plus,Economy,,6,32,28,
336,2974,5209,Embraer ERJ-145 V1,Economy Plus,Economy,,,6,44,,
337,2974,5209,Embraer ERJ-145 V2,Economy Plus,Economy,,,6,44,,
331,2966,5209,Embraer E-170,First,Economy Plus,Economy,,6,16,48,
338,2874,5209,Beechcraft 1900C/1900D,Economy,,,,19,,,
345,3057,5209,Saab 340B,Economy,,,,34,,,
339,2950,5209,Bombardier Q200,Economy,,,,37,,,
340,2951,5209,Bombardier Q300,Economy,,,,50,,,
341,2952,5209,Bombardier Q400 V1,First,Economy Plus,Economy,,7,10,54,
342,2952,5209,Bombardier Q400 V2,Economy Plus,Economy,,,4,70,,
