name,subregion,co2,ch4,n2o
"ASCC Alaska Grid",AKGD,1280.8582,0.027737,0.0076877
"ASCC Miscellaneous",AKMS,521.2619,0.0217818,0.0042814
"WECC Southwest",AZNM,1191.3503,0.0191317,0.0155818
"WECC California",CAMX,658.6846,0.0289404,0.0061653
"ERCOT All",ERCT,1181.7273,0.016703,0.0131035
"FRCC All",FRCC,1176.6065,0.039238,0.0135329
"HICC Miscellaneous",HIMS,1351.6625,0.0723986,0.0138041
"HICC Oahu",HIOA,1593.3483,0.1017449,0.0219805
"MRO East",MROE,1591.6518,0.0239809,0.0270413
"MRO West",MROW,1628.6032,0.0287983,0.0277902
"NPCC New England",NEWE,728.4087,0.0756842,0.013855
"WECC Northwest",NWPP,819.2079,0.0152931,0.0125004
"NPCC NYC/Westchester",NYCW,610.6687,0.0237509,0.0028065
"NPCC Long Island",NYLI,1347.9882,0.0968646,0.0123733
"NPCC Upstate NY",NYUP,497.9185,0.0159389,0.0067655
"RFC East",RFCE,947.4237,0.0268381,0.0149624
"RFC Michigan",RFCM,1659.4568,0.031409,0.0278884
"RFC West",RFCW,1520.5931,0.018119,0.0251334
"WECC Rockies",RMPA,1824.5125,0.022249,0.0271903
"SPP North",SPNO,1815.7573,0.0210086,0.028891
"SPP South",SPSO,1599.0168,0.023248,0.0217875
"SERC Mississippi Valley",SRMV,1002.4119,0.0194476,0.0106544
"SERC Midwest",SRMW,1749.753,0.0195709,0.0289825
"SERC South",SRSO,1325.6842,0.0222717,0.0207755
"SERC Tennessee Valley",SRTV,1357.7107,0.017277,0.0220864
"SERC Virginia/Carolina",SRVC,1035.8686,0.0215116,0.0174468
